portfolio,beta_Mkt-RF,beta_SMB,beta_HML,beta_UMD,R2_static
<= 0,0.0021062720956873116,0.0028857461169652376,-0.0038932170347223405,-0.0030476035088841114,0.008982761478506407
Lo 30,1.0359318324537234,1.1876932532741722,0.4316756159715958,-0.05044163014279011,0.9791235872426152
Med 40,1.0569573607509661,0.5702017387563818,0.20022869969679064,0.0015819414801454788,0.9822357797957809
Hi 30,0.9921217159432059,-0.13076078538278077,-0.00930294471491936,-0.00712864681747233,0.9983081171688937
Lo 20,1.0158256478111196,1.3562563093858255,0.5221840996894924,-0.055840437246812716,0.9536289734661896
Qnt 2,1.0494485437093808,0.9513237467659775,0.3257845583101195,-0.028479614132652997,0.9845426354887503
Qnt 3,1.0622146585089292,0.6008514513978778,0.21748859647359178,-0.01571385695597627,0.9778812947765675
Qnt 4,1.049514398465895,0.3028259937020238,0.13613331356902206,-0.0011930460569480397,0.9704383199153445
Hi 20,0.9878570667884502,-0.1654221806911052,-0.01823692239448367,-0.007185169293716291,0.9966249915114654
Lo 10,0.9687380737750364,1.542456624618895,0.6779557559785746,-0.11308236740527479,0.8916756370451179
2-Dec,1.0509971021689894,1.2629037042686946,0.45534456523419586,-0.036015422807900085,0.9606366716852566
3-Dec,1.0624863998609193,1.0164815120225348,0.36057567475478475,-0.056407603352506046,0.9767279640802176
4-Dec,1.0420495655912403,0.9075847663370554,0.3056332035516445,-0.010807077085610255,0.9753624410902799
5-Dec,1.0546048370360976,0.7255344127058114,0.1992290032582707,-0.017286807074907574,0.9780670870834369
6-Dec,1.0669760654149034,0.5106675480522417,0.23066130236323498,-0.015178688753934418,0.9638593312851063
7-Dec,1.0598134147945428,0.4137035629069396,0.16154494979485598,0.020252026154431127,0.963289152849744
8-Dec,1.0430557322666019,0.23928026313411513,0.12277327714771662,-0.014351847529080804,0.9607402665071298
9-Dec,1.0250919309565556,0.07152877506594814,0.11102227169543938,-0.01873918108018488,0.9678942840175191
Hi 10,0.980139012788868,-0.21450602039425345,-0.04112937946257851,-0.005378911433353315,0.9909356014590784
