portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean,hist_mean_train_const,hist_mean_prevailing_avg
Lo 30,1995-01-01,816,371,0.00403721408257085,1.0032116774828495,0.1578793699504224,False,False,0.0008006464252723333,0.0032391610800380777,-1.2891137475711488e-05,1.790642224921285e-05,0.003966885464297942,0.0039797766017736535,0.003982965548902365,0.010149877450980394,0.009962161421127054
Lo 30,2000-01-01,876,311,0.00559354364432485,1.3269811837870933,0.09225745352791992,True,False,0.0006118770510605831,0.004984716626974417,-2.0743189997778078e-05,-6.968302314821345e-05,0.004140614726624356,0.004161357916622134,0.004163905714971905,0.010279566210045662,0.009908320233796744
Lo 30,2010-01-01,996,191,0.013459926676526623,2.0400438916672323,0.020672977155046346,True,True,0.0009032710795038312,0.012568007915099488,-4.622837457845738e-05,-0.00010307764948774834,0.003632029539543125,0.0036782579141215826,0.0036815833819172504,0.009708333333333333,0.009794694514453223
Med 40,1995-01-01,816,371,0.0010688426044639376,0.5687394672317074,0.2847664798511723,False,False,0.0009740433645626378,9.489166850129571e-05,-2.86527668457489e-07,1.9922310276795918e-05,0.00301923745144315,0.0030195239791116074,0.003022467994005772,0.008779779411764705,0.008687493905552061
Med 40,2000-01-01,876,311,0.001419245862411711,0.6703680689183982,0.2513115923285347,False,False,0.000751806838297786,0.0006679411868658613,-2.0929418802391464e-06,1.1799136563454826e-05,0.003131329463256549,0.003133422405136788,0.0031357799059134506,0.009048401826484018,0.008639902453756931
Med 40,2010-01-01,996,191,0.004252999687273329,1.684491784476383,0.04604333293297436,True,True,0.0008071978861146079,0.003448585492077938,-1.0317683402399913e-05,-1.4384361581132321e-05,0.0029815418561396816,0.0029918595395420815,0.0029942765132139905,0.00839508032128514,0.00863424232352853
Hi 30,1995-01-01,816,371,0.0006471681337054669,0.5145252887480593,0.3034423922022268,False,False,0.00042862264315290943,0.0002186392042662355,-4.1914672465281043e-07,-6.339147167119807e-06,0.0019166511520790112,0.001917070298803664,0.0019178923508923861,0.006147549019607842,0.006352415749267073
Hi 30,2000-01-01,876,311,0.0011665781341375636,0.7029867789693348,0.24103199439669543,False,False,0.0008763262699571506,0.00029050644260775194,-5.64112934444555e-07,-8.305514760692523e-06,0.0019412617873135211,0.0019418259002479657,0.0019435290658247732,0.006969634703196346,0.006307409092779762
Hi 30,2010-01-01,996,191,-0.0014504800213215319,-0.8359933219367628,0.7984206700269731,False,False,-0.0015922316427006145,0.00014152627875985146,-2.510352981367498e-07,-8.275827615464304e-06,0.0017735205945112774,0.0017737716298094142,0.0017709518642135137,0.005893273092369478,0.006332630228384302
Lo 20,1995-01-01,816,371,0.006048907842491014,1.2167922901030146,0.11184162709403944,False,False,0.000664060649163356,0.0053884254346195926,-2.2474234927349034e-05,1.8706330267778681e-06,0.00414836104896769,0.004170835283895039,0.004173606811943931,0.0106703431372549,0.010452336486115058
Lo 20,2000-01-01,876,311,0.007625387046254817,1.5427192598739852,0.06144945338559482,True,False,0.00040943943391091864,0.007218903316031033,-3.1616855113991704e-05,-0.00013506479746013683,0.004348114210653315,0.004379731065767307,0.004381525034897262,0.010813470319634703,0.010393489074826383
Lo 20,2010-01-01,996,191,0.01821921548740213,2.024084889281685,0.021480709051916125,True,True,0.0008221962090331214,0.017411334811845536,-6.575571634487342e-05,-0.00018996432560208776,0.0037108482635026378,0.003776603979847511,0.003779711644432802,0.010229216867469878,0.010211446477752312
Qnt 2,1995-01-01,816,371,0.0014768441243849795,0.6128471529836155,0.26998870461689917,False,False,0.0007773819128910064,0.0007000063837955262,-2.6054095221233857e-06,3.2914964286943904e-05,0.0037193742501438224,0.003721979659665946,0.003724875310359994,0.009877450980392156,0.009591597095370023
Qnt 2,2000-01-01,876,311,0.0026787503476839447,0.8532918658460993,0.19674873487507938,False,False,0.0006057652169043637,0.002074241634212992,-7.989392056166524e-06,-9.25465648991819e-06,0.0038437277485064004,0.003851717140562567,0.0038540517910817525,0.009976712328767123,0.00952183647234063
Qnt 2,2010-01-01,996,191,0.008600913555265488,2.000839912342518,0.022704822341102604,True,True,0.0009065227099674944,0.007701372314198651,-2.71648214108214e-05,-5.470200298260397e-05,0.003500105423755592,0.0035272702451664135,0.0035304706970301462,0.009315461847389558,0.009465371017069145
