# bootstrap_per_portfolio.csv (Task 2); seed=20260706; B=5000; PW moving-block; percentile CIs
window,portfolio,block_method,block_length,B,dMSE_point,OOSR2_point,dMSE_ci90_lo,dMSE_ci90_hi,dMSE_ci95_lo,dMSE_ci95_hi,OOSR2_ci90_lo,OOSR2_ci90_hi,OOSR2_ci95_lo,OOSR2_ci95_hi
1995-01,Lo 30,PW_MBB,1,5000,-5.689562858405004e-07,0.0006577990220357766,-2.6180129032203745e-05,2.6181606533116774e-05,-3.068537229537636e-05,3.152776850380754e-05,-0.005763636782530945,0.007090503785305991,-0.006979871858547952,0.008319058139366793
1995-01,Med 40,PW_MBB,1,5000,-1.82739943686444e-06,0.00036943830654767584,-1.1536685315341055e-05,8.279223554014496e-06,-1.3465980309828585e-05,1.040092954519558e-05,-0.002783414758184921,0.0036134608529699245,-0.003340838666952788,0.004206183797655627
1995-01,Hi 30,PW_MBB,1,5000,3.317478241098139e-07,0.00060159784895919,-1.5391874597684706e-06,2.1656100132234302e-06,-1.9211594349439652e-06,2.4819018015967046e-06,-0.0016360048871398862,0.00278362141699578,-0.0021198757697396707,0.0031675044687039266
1995-01,Lo 20,PW_MBB,1,5000,4.62852255738721e-06,0.0017730588768216649,-2.6448510155557164e-05,3.6931989543623226e-05,-3.2013041132350896e-05,4.501438525225799e-05,-0.005750124354164122,0.00924962085802197,-0.0071267061070374865,0.01059929048882712
1995-01,Qnt 2,PW_MBB,1,5000,-4.931929282074294e-06,-0.0005466702690319902,-2.3570240317770227e-05,1.4654860904918723e-05,-2.7108081158051137e-05,1.8721729326993173e-05,-0.005667013767817953,0.004656087267573663,-0.006637318167327165,0.005575555925179824
1995-01,Qnt 3,PW_MBB,1,5000,-3.5357687778518994e-06,-0.0003010264441429822,-1.3877941690117463e-05,7.296697759192793e-06,-1.5972227468125592e-05,9.339833208470526e-06,-0.003775081102215805,0.0032202992193555435,-0.004387710349451956,0.0038515544559997675
1995-01,Qnt 4,PW_MBB,1,5000,1.308503782211644e-07,0.0009872671755404294,-4.447214860488782e-06,4.8630932403376275e-06,-5.341715415627715e-06,5.783976597374833e-06,-0.0006197444050250912,0.002646288421930205,-0.0009585838135579727,0.0029745675328815228
1995-01,Hi 20,PW_MBB,1,5000,4.4176052607869694e-07,0.0005731892885237899,-1.912112200315616e-06,2.7467693475108456e-06,-2.3759898325177694e-06,3.1674621504271594e-06,-0.001997567956304014,0.0030525432474856956,-0.0025410158658943074,0.0034962151175952244
1995-01,Lo 10,PW_MBB,1,5000,8.193096668591613e-06,0.0017049863075692118,-2.906221154694058e-05,4.602167808194761e-05,-3.608013166965316e-05,5.482371500877108e-05,-0.00786546885607028,0.011030871796763167,-0.009878264410423776,0.012744132959894598
1995-01,2-Dec,PW_MBB,1,5000,2.999610994951597e-06,0.0015948122455979874,-2.6097731090848746e-05,3.297532234747071e-05,-3.1126489298544884e-05,3.982549432450815e-05,-0.0048060029595730636,0.007981012793252236,-0.005885269654058272,0.009180498201179494
1995-01,3-Dec,PW_MBB,1,5000,-5.888245079583768e-06,-0.000640935653074548,-2.6757767420446402e-05,1.570166744900023e-05,-3.0401281918922593e-05,1.9989921336208184e-05,-0.00597042695446175,0.004820836350149627,-0.007041214177164999,0.00573977620965586
1995-01,4-Dec,PW_MBB,1,5000,-4.3717772475957635e-06,-0.0005035019648935712,-2.224658208237958e-05,1.4211083772808985e-05,-2.541928295368886e-05,1.81006376829641e-05,-0.005450925784322481,0.004535140117013176,-0.006390134215057091,0.005439321201136118
1995-01,5-Dec,PW_MBB,1,5000,-3.4186527964690003e-06,-6.618388906587391e-05,-1.690578365011051e-05,1.069696043081476e-05,-1.9781841970649277e-05,1.3563692347187374e-05,-0.00399033106464981,0.0039895827229335665,-0.004692123482997822,0.0046933913682323455
1995-01,6-Dec,PW_MBB,1,5000,-3.4350484714138843e-06,-0.00040078676449595285,-1.1894243643650655e-05,5.267606486374441e-06,-1.3453099318140243e-05,6.906751585072476e-06,-0.003490445778625729,0.002746003409915505,-0.00408344491859619,0.0032688262959469435
1995-01,7-Dec,PW_MBB,1,5000,3.9366652943098695e-07,0.0010527505944124549,-6.5844468975488335e-06,7.563798963535517e-06,-7.888695908163147e-06,9.165705068387612e-06,-0.001277095970341325,0.0034131325660955066,-0.0017652714706110958,0.003906516619814507
1995-01,8-Dec,PW_MBB,1,5000,4.859673357414818e-08,0.0009703133750098569,-3.1609497088871196e-06,3.3770353982993807e-06,-3.7907253447493218e-06,4.002602694290732e-06,-0.0002530576497524752,0.002277197526217245,-0.000532491070134522,0.002526742896725348
1995-01,9-Dec,PW_MBB,1,5000,-8.334106927363691e-08,0.0006804367186237226,-7.293209478522748e-07,5.640729786850263e-07,-8.24423237385668e-07,6.910344005028532e-07,-0.0004933553829754467,0.0017804115565745687,-0.0007037121030596387,0.001983400836292395
1995-01,Hi 10,PW_MBB,1,5000,5.701259492458544e-07,0.000562443818676539,-2.5232915675527267e-06,3.573809607487995e-06,-3.041766307217979e-06,4.145456822555361e-06,-0.002494294835543698,0.003466380411162734,-0.003114196173546756,0.003996340191476786
2000-01,Lo 30,PW_MBB,2,5000,-1.1684593196884144e-06,0.0003312608700823949,-2.5724497664072254e-05,2.3419441477280735e-05,-3.107596806499324e-05,2.806428497081137e-05,-0.005614583225911119,0.005779058888456958,-0.0070093303392293966,0.006859725756010039
2000-01,Med 40,PW_MBB,2,5000,-3.3270580188782667e-06,-0.00030919173899524033,-1.2427603765153192e-05,6.2012849148511355e-06,-1.411047438715891e-05,8.047483725685012e-06,-0.0035156000825271485,0.002806739469991577,-0.004211818771763385,0.003379201340214514
2000-01,Hi 30,PW_MBB,2,5000,7.043716724924518e-07,0.001238745173218092,-1.0280863248129184e-06,2.372658629767388e-06,-1.3321009052437087e-06,2.7163850330373467e-06,-0.0023033101094214413,0.005004317454893594,-0.003011938499802469,0.005782957905596814
2000-01,Lo 20,PW_MBB,2,5000,3.945297068593312e-06,0.0013098786730276757,-2.590879064657258e-05,3.3458420108379146e-05,-3.188208130257416e-05,3.882121593850256e-05,-0.0056390224040605685,0.00750464484365539,-0.0072001594881170635,0.008701557830956368
2000-01,Qnt 2,PW_MBB,2,5000,-6.577697392655506e-06,-0.0011009314621275301,-2.4214190264971732e-05,1.1458226764541323e-05,-2.8027437745586173e-05,1.489566055850664e-05,-0.005904630630831398,0.003498083400504727,-0.0068811692485231,0.0042667998323171604
2000-01,Qnt 3,PW_MBB,2,5000,-4.739628018057569e-06,-0.0008432087733254434,-1.441955998447267e-05,5.44519478239144e-06,-1.6118641286612846e-05,7.239080157201702e-06,-0.004314563959637319,0.002498785200765193,-0.005038336431366835,0.003036864064456807
2000-01,Qnt 4,PW_MBB,2,5000,-8.900459670969703e-07,0.0006166715757137675,-5.2312881772194256e-06,3.638283069459032e-06,-6.066654495844247e-06,4.549400203352685e-06,-0.0014046765203583167,0.002630354607883867,-0.0018075841362620243,0.0029873214587665072
2000-01,Hi 20,PW_MBB,2,5000,9.09497190676642e-07,0.0013412548801452484,-1.256455682904765e-06,2.9975841093291847e-06,-1.6478213409371213e-06,3.417068563164978e-06,-0.0024260475298545914,0.005336194538901463,-0.0031645134696376472,0.0061245409615712995
2000-01,Lo 10,PW_MBB,2,5000,1.1769898866376075e-05,0.0025059003319686246,-2.519780931291168e-05,4.612596933760033e-05,-3.185153214459844e-05,5.360419329846988e-05,-0.00663793484640326,0.01013396003885211,-0.0085475094398122,0.011795379604687026
2000-01,2-Dec,PW_MBB,2,5000,-5.214881722632594e-07,0.0005039410963942892,-2.703828143276021e-05,2.6355639331628824e-05,-3.2517906162807165e-05,3.201284682649492e-05,-0.005271160102704708,0.005889834806738511,-0.006469531753815159,0.006906499533928106
2000-01,3-Dec,PW_MBB,2,5000,-6.5332314042006456e-06,-0.0008569868901311395,-2.6459190979397588e-05,1.3376541473094722e-05,-3.0347613948198056e-05,1.739530494488863e-05,-0.005861238612279907,0.003878940687630153,-0.007030229664220944,0.004739197085820679
2000-01,4-Dec,PW_MBB,2,5000,-6.762378197047983e-06,-0.001327731534539467,-2.298023025791974e-05,1.012288788399428e-05,-2.632470304916118e-05,1.3567363883619286e-05,-0.005995113636867899,0.003102103447344065,-0.006795871069894188,0.0038978109303693708
2000-01,5-Dec,PW_MBB,2,5000,-6.6291175782505886e-06,-0.00121883327133121,-1.8912083538342786e-05,6.311769115544618e-06,-2.137808865046317e-05,8.847114939542739e-06,-0.005093827680847818,0.0025702439516297583,-0.005834071702857645,0.003176823239242554
2000-01,6-Dec,PW_MBB,2,5000,-3.544244928250229e-06,-0.0005124882594846891,-1.1566110960638197e-05,4.903372671015391e-06,-1.298547598896292e-05,6.408867973848701e-06,-0.0035878126638631993,0.0024687819274828884,-0.004248741445410313,0.002998118425987221
2000-01,7-Dec,PW_MBB,2,5000,-9.929093852564298e-07,0.000574563708145015,-7.425791515806293e-06,5.887228714460662e-06,-8.707128083874388e-06,7.258764849715503e-06,-0.0018112476488758688,0.0029419836887442322,-0.002384600592338137,0.003318276305428458
2000-01,8-Dec,PW_MBB,2,5000,-7.269554983397861e-07,0.0006914458098359333,-3.8984117246496535e-06,2.562888605007973e-06,-4.504963158189751e-06,3.1742526930169903e-06,-0.0011048865457560454,0.0025558470537045464,-0.0014912038040311877,0.002892984405036589
2000-01,9-Dec,PW_MBB,2,5000,-1.3864131641207717e-07,0.0008979711774084187,-6.716769546947467e-07,4.0607871514932163e-07,-7.859528289510415e-07,5.109219864479829e-07,-0.0008523994633888311,0.002842077627266199,-0.0011749909373894576,0.0032191286332072682
2000-01,Hi 10,PW_MBB,2,5000,1.2292231782419455e-06,0.0014775438280847375,-1.5552778217284575e-06,3.90963583102193e-06,-2.0445525416839744e-06,4.442733826905576e-06,-0.0026396994899896683,0.0057811009418860535,-0.0034022320163893983,0.0066329374292604
2010-01,Lo 30,PW_MBB,1,5000,9.346434870943036e-06,0.003441970845710407,-8.127394807158503e-06,2.797976872735661e-05,-1.1210381612343357e-05,3.2332045896282815e-05,-0.0014144406150424784,0.008385360520612395,-0.002283551616386735,0.009598671488493004
