window,logL_default,logL_multistart,improvement,default_is_best
1995-01-01,1774.1784230720907,1774.1784230720882,-2.5011104298755527e-12,True
2000-01-01,1887.7741913867417,1887.7741913867408,-9.094947017729282e-13,True
2010-01-01,2124.6538433190362,2124.6538433190353,-9.094947017729282e-13,True
