label,spearman_rho,spearman_p,kendall_tau,kendall_p,frac_improved,mean_oos_r2,frac_cw_sig,n_ports,test
Three-state,-0.9793601651186791,1.552323229912878e-12,-0.9215686274509804,2.9255087036301376e-11,0.0,-0.5295280922163046,0.0,18,Three-state
Five splits,0.9711042311661506,2.232219649061992e-11,0.9084967320261439,9.766565163801219e-11,1.0,0.004574225924079269,0.3222222222222222,18,Extra splits
Rolling 10yr,-0.9958720330237358,4.18452439326725e-18,-0.9738562091503269,5.310530369319317e-14,0.16666666666666666,-0.005955662588260962,0.0,18,Rolling window
Exclude crisis,0.9009287925696594,3.4061802943964577e-07,0.7777777777777779,4.3609775379122777e-07,0.8888888888888888,0.003305782450279351,0.12962962962962962,18,Exclude crisis
FF5,0.8740970072239421,2.1231300937836747e-06,0.7254901960784316,4.304368320665909e-06,0.9444444444444444,0.00363360693215915,0.16666666666666666,18,FF5
