label,spearman_rho,spearman_p,kendall_tau,kendall_p,frac_improved,mean_oos_r2,frac_cw_sig,n_ports,subperiod
Pre-2000,-0.8059855521155831,5.381635606113316e-05,-0.5816993464052289,0.0004609942250814608,0.2222222222222222,-0.006507143055260931,0.0,18,Pre-2000
Post-2000,-0.347781217750258,0.15730765714242598,-0.21568627450980396,0.22906043853787195,0.5,-0.0007248070255287706,0.0,18,Post-2000
