split,BIC_2state,BIC_3state,delta_BIC_3_minus_2,favors,n_train
1995-01,-3508.130360009431,-3552.3595067578185,-44.22914674838739,3-state,816
2000-01,-3734.8961862278666,-3781.5085290889833,-46.61234286111676,3-state,876
2010-01,-4207.885203073823,-4267.237735328649,-59.352532254826656,3-state,996
