portfolio,split_date,delta_mse,oos_r2,cw_stat,cw_pval,cw_sig_5pct
<= 0,1995-01-01,6.878531740701042e-08,-0.004864311182894765,-15.443558509154292,1.0,False
<= 0,2000-01-01,2.5196937080437207e-08,-0.0016262038935921375,-17.211114364248072,1.0,False
<= 0,2010-01-01,1.5417625193945576e-07,-0.011032250190290638,-15.832570466452196,1.0,False
Lo 30,1995-01-01,-3.0044518543255114e-05,0.007545424234500553,1.841423566801639,0.0327797559346259,True
Lo 30,2000-01-01,-3.565259176978048e-05,0.008578773289830033,1.903716189123513,0.028473578425090684,True
Lo 30,2010-01-01,-1.9377018624265e-05,0.005259327040518125,1.0890147228433666,0.13807369661589175,False
Med 40,1995-01-01,-5.188164055089546e-06,0.00171587612548596,0.8609504498815715,0.19463266699357407,False
Med 40,2000-01-01,-8.546341671768036e-06,0.002729716558298012,1.0276936509946073,0.15204697765052988,False
Med 40,2010-01-01,-3.6628671334199524e-06,0.0012201924897234928,0.5255426208564346,0.29960301641149245,False
Hi 30,1995-01-01,-3.086019395586283e-06,0.0015962885586096043,1.0856196711464963,0.1388236465712529,False
Hi 30,2000-01-01,9.475586694317369e-07,-0.00048810708893176624,-0.11274792686212619,0.5448847983351771,False
Hi 30,2010-01-01,-3.4217633839302673e-06,0.0019033478694872041,0.8892111992676431,0.1869447925402996,False
Lo 20,1995-01-01,-4.351016156813655e-05,0.010428299550041098,2.214274982233875,0.013404934260444312,True
Lo 20,2000-01-01,-5.123350040071601e-05,0.011722406351985515,2.338706375135788,0.009675317498681113,True
Lo 20,2010-01-01,-3.423354488377422e-05,0.009059660423845317,1.4696720447135503,0.07082529876694466,False
Qnt 2,1995-01-01,-1.694558816407038e-05,0.004553829316874314,1.4149719481277123,0.07853836048857032,False
Qnt 2,2000-01-01,-1.9737759450691277e-05,0.005131719006374991,1.4191647701778183,0.07792549214160371,False
Qnt 2,2010-01-01,-1.0549553697676139e-05,0.0029843685702108935,0.8225883812631045,0.20537105404693345,False
Qnt 3,1995-01-01,-5.384827503860778e-06,0.0017335170491080687,0.8745145972479682,0.19091903714016412,False
Qnt 3,2000-01-01,-8.311542570081307e-06,0.0025981129934203873,0.9869046011319402,0.16184470420471797,False
Qnt 3,2010-01-01,-3.4995771631758828e-06,0.0011336811535727076,0.5172653436623432,0.3024854715361316,False
Qnt 4,1995-01-01,-1.5341850593281886e-06,0.0005755582390476466,0.5020182615167792,0.3078273377109745,False
Qnt 4,2000-01-01,-3.435811925108726e-06,0.0012429080612507137,0.7474839453190057,0.22738574515696075,False
Qnt 4,2010-01-01,7.973881958451244e-07,-0.00031645896691934183,0.10310576606670384,0.4589395143785008,False
Hi 20,1995-01-01,-4.249644149646606e-06,0.002219719284388133,1.2412549877490675,0.10725578361044019,False
Hi 20,2000-01-01,1.1188986495892436e-06,-0.000585026345348405,-0.0596408078984434,0.5237791419021649,False
Hi 20,2010-01-01,-4.45219026714563e-06,0.0025065410598105187,0.9551580102573631,0.16974889828885864,False
Lo 10,1995-01-01,-5.779216700503142e-05,0.014400680745765615,2.6514349004144546,0.004007528121891424,True
Lo 10,2000-01-01,-6.346664316681828e-05,0.015076582966310426,2.7147560536830606,0.003316230305535406,True
Lo 10,2010-01-01,-5.09981546303038e-05,0.014407923911931908,1.9495842711669895,0.02561284480353243,True
2-Dec,1995-01-01,-3.311616249021716e-05,0.007366897672066219,1.8550494934922368,0.03179457959294529,True
2-Dec,2000-01-01,-4.226592749332139e-05,0.009021488056699445,2.0493940161288275,0.020211800952963932,True
2-Dec,2010-01-01,-2.3517324508275095e-05,0.005711616544675335,1.1404519604474894,0.1270490279337122,False
3-Dec,1995-01-01,-1.5457298503783728e-05,0.003968707670199634,1.3164191670753325,0.09401669634359255,False
3-Dec,2000-01-01,-1.7806620639893196e-05,0.004415243282946513,1.2971936415657492,0.0972822839792078,False
3-Dec,2010-01-01,-6.3595962529936455e-06,0.001710454516545834,0.6764810216379027,0.24936764575405146,False
4-Dec,1995-01-01,-1.7618679216588416e-05,0.004822858723168122,1.4614816153229508,0.07194165863918522,False
4-Dec,2000-01-01,-2.068359015169668e-05,0.005484236180974045,1.4860311005673106,0.06863544744277261,False
4-Dec,2010-01-01,-1.2944941076922963e-05,0.003727494702080336,0.9087168245852734,0.18174981043714566,False
5-Dec,1995-01-01,-1.2858303866564863e-05,0.0037199580637243823,1.3093862074943623,0.095201780553687,False
5-Dec,2000-01-01,-1.5616231448758143e-05,0.004387254817919017,1.3620361313683709,0.08659324136065161,False
5-Dec,2010-01-01,-8.470378264585458e-06,0.0025192045750653813,0.7429526164943439,0.2287551841728639,False
6-Dec,1995-01-01,-7.291381467692919e-07,0.00024964455863651924,0.5013318482705613,0.3080687973584285,False
6-Dec,2000-01-01,-3.6417750863193196e-06,0.001211949459193118,0.6692885762327591,0.25165570630292544,False
6-Dec,2010-01-01,-5.077884334117252e-07,0.00017286087699108776,0.3298544844810506,0.3707549582406522,False
7-Dec,1995-01-01,-2.0095218060517915e-06,0.0007114506908244556,0.5494210935511953,0.29135825079607325,False
7-Dec,2000-01-01,-5.277500122682997e-06,0.0017957710670448712,0.8615066285722486,0.19447953598904166,False
7-Dec,2010-01-01,-1.6497619974129192e-06,0.0005809522043264126,0.3631642804938292,0.3582410843558177,False
8-Dec,1995-01-01,-1.169341838057076e-06,0.00044583641022200027,0.4632333356146547,0.32159856204347226,False
