# bootstrap_results.csv  (Task 2, AJSR revision)
# seed=20260706; B=5000; moving-block bootstrap (whole 18-wide cross-section per month)
# block lengths: PW=Politis-White(2004) auto; fixed robustness=[6, 12]
# PW block per window: {'1995-01': 1, '2000-01': 2, '2010-01': 1}; pooled=1
# boot_p_value = two-sided percentile (CI-inversion) test of H0 in note; CIs are percentile.
# sign_stat_S = (#improved - #not-improved), null 0; dMSE>0 => regime better.
scope,statistic,block_method,block_length,B,point_estimate,boot_p_value,ci90_lo,ci90_hi,ci95_lo,ci95_hi,n_boot_valid
1995-01,spearman_rho,PW_MBB,1,5000,-0.05882352941176471,0.9952,-0.9896800825593396,0.9855521155830752,-0.9958720330237358,0.9938080495356036,5000
1995-01,kendall_tau,PW_MBB,1,5000,-0.15032679738562094,0.898,-0.9477124183006538,0.934640522875817,-0.9738562091503269,0.9607843137254903,5000
1995-01,sign_stat_S,PW_MBB,1,5000,0.0,0.8668,-12.0,14.0,-14.0,16.0,5000
1995-01,dMSE_mean,PW_MBB,1,5000,-5.735077936320056e-07,0.9468,-1.2958930501106929e-05,1.2279898531785057e-05,-1.520722459696097e-05,1.495472171408788e-05,5000
1995-01,OOSR2_regime_mean,PW_MBB,1,5000,0.0005038326996451878,0.7968,-0.0026530448938526826,0.0037149151446354118,-0.0032437947672584577,0.0042852428390884505,5000
1995-01,spearman_rho,fixed_MBB,6,5000,-0.05882352941176471,0.9712,-0.9834881320949431,0.9896800825593396,-0.9938596491228068,0.9958720330237358,5000
1995-01,kendall_tau,fixed_MBB,6,5000,-0.15032679738562094,0.9496,-0.9352941176470597,0.9607843137254903,-0.9738562091503269,0.9738562091503269,5000
1995-01,sign_stat_S,fixed_MBB,6,5000,0.0,0.9196,-12.0,12.0,-12.049999999999784,16.0,5000
1995-01,dMSE_mean,fixed_MBB,6,5000,-5.735077936320056e-07,0.9872,-1.3107234326253664e-05,1.2302553283953479e-05,-1.5800551264254776e-05,1.5206049300522826e-05,5000
1995-01,OOSR2_regime_mean,fixed_MBB,6,5000,0.0005038326996451878,0.7584,-0.002717144030337868,0.003512785270615026,-0.003419978287451926,0.004173500593289788,5000
1995-01,spearman_rho,fixed_MBB,12,5000,-0.05882352941176471,0.926,-0.9855521155830752,0.9896800825593396,-0.9958720330237358,0.9958720330237358,5000
1995-01,kendall_tau,fixed_MBB,12,5000,-0.15032679738562094,0.9896,-0.9477124183006538,0.9607843137254903,-0.9738562091503269,0.9738562091503269,5000
1995-01,sign_stat_S,fixed_MBB,12,5000,0.0,0.9536,-12.0,12.0,-14.0,14.0,5000
1995-01,dMSE_mean,fixed_MBB,12,5000,-5.735077936320056e-07,0.9748,-1.3330002810298648e-05,1.3361909760609159e-05,-1.5965622809349944e-05,1.6130772819712433e-05,5000
1995-01,OOSR2_regime_mean,fixed_MBB,12,5000,0.0005038326996451878,0.7092,-0.0027614324357263945,0.003745442641376241,-0.0034527820187116192,0.004276256837583002,5000
2000-01,spearman_rho,PW_MBB,2,5000,-0.18885448916408668,0.8964,-0.981424148606811,0.9855521155830752,-0.9958720330237358,0.9958720330237358,5000
2000-01,kendall_tau,PW_MBB,2,5000,-0.25490196078431376,0.758,-0.934640522875817,0.934640522875817,-0.9738562091503269,0.9738562091503269,5000
2000-01,sign_stat_S,PW_MBB,2,5000,-8.0,0.7144,-12.0,14.0,-12.0,18.0,5000
2000-01,dMSE_mean,PW_MBB,2,5000,-1.3329759566676276e-06,0.8516,-1.3198881368455058e-05,1.063758717479648e-05,-1.5676640821433875e-05,1.3066874614661289e-05,5000
2000-01,OOSR2_regime_mean,PW_MBB,2,5000,0.00029554473300497097,0.8816,-0.0030359961652327385,0.003465409583068934,-0.0037055898443527574,0.004055939137937852,5000
2000-01,spearman_rho,fixed_MBB,6,5000,-0.18885448916408668,0.8524,-0.9669762641898865,0.9896800825593396,-0.9876676986584106,0.9958720330237358,5000
2000-01,kendall_tau,fixed_MBB,6,5000,-0.25490196078431376,0.7292,-0.9084967320261439,0.9477124183006538,-0.9477124183006538,0.9738562091503269,5000
2000-01,sign_stat_S,fixed_MBB,6,5000,-8.0,0.6708,-12.0,12.0,-12.0,16.0,5000
2000-01,dMSE_mean,fixed_MBB,6,5000,-1.3329759566676276e-06,0.8096,-1.291287255538075e-05,9.430054088186833e-06,-1.5098301988131752e-05,1.1550382812173018e-05,5000
2000-01,OOSR2_regime_mean,fixed_MBB,6,5000,0.00029554473300497097,0.8936,-0.0030634388298252917,0.003402196660893141,-0.0037037771662758647,0.003998583484820719,5000
2000-01,spearman_rho,fixed_MBB,12,5000,-0.18885448916408668,0.9328,-0.9649122807017543,0.9958720330237358,-0.9917440660474718,0.9958720330237358,5000
2000-01,kendall_tau,fixed_MBB,12,5000,-0.25490196078431376,0.8156,-0.9084967320261439,0.9738562091503269,-0.9607843137254903,0.9738562091503269,5000
2000-01,sign_stat_S,fixed_MBB,12,5000,-8.0,0.7436,-12.0,12.0,-12.0,16.0,5000
2000-01,dMSE_mean,fixed_MBB,12,5000,-1.3329759566676276e-06,0.9004,-1.2222740195298932e-05,1.0655552152932251e-05,-1.4330102872406023e-05,1.3022388292529653e-05,5000
2000-01,OOSR2_regime_mean,fixed_MBB,12,5000,0.00029554473300497097,0.8728,-0.0030699859709986347,0.0036827175562183,-0.0037656534410740934,0.0042399420324896854,5000
2010-01,spearman_rho,PW_MBB,1,5000,0.9401444788441692,0.3956,-0.7254901960784313,0.9958720330237358,-0.8700206398348811,0.9979360165118679,5000
2010-01,kendall_tau,PW_MBB,1,5000,0.8300653594771243,0.4648,-0.673202614379085,0.9738562091503269,-0.7777777777777779,0.9869281045751636,5000
2010-01,sign_stat_S,PW_MBB,1,5000,18.0,0.5668,-12.0,18.0,-12.0,18.0,5000
2010-01,dMSE_mean,PW_MBB,1,5000,4.6949653011252145e-06,0.3816,-3.975222909399829e-06,1.3764022356441037e-05,-5.438744894192341e-06,1.5918494108473577e-05,5000
2010-01,OOSR2_regime_mean,PW_MBB,1,5000,0.0016005364173303782,0.3812,-0.001534652535514512,0.004668641633757945,-0.0020882399103716613,0.005250031027125983,5000
2010-01,spearman_rho,fixed_MBB,6,5000,0.9401444788441692,0.3668,-0.7667698658410733,0.9979360165118679,-0.8989164086687305,1.0,5000
2010-01,kendall_tau,fixed_MBB,6,5000,0.8300653594771243,0.4004,-0.6869281045751644,0.9869281045751636,-0.803921568627451,1.0,5000
2010-01,sign_stat_S,fixed_MBB,6,5000,18.0,0.4808,-12.0,18.0,-12.0,18.0,5000
2010-01,dMSE_mean,fixed_MBB,6,5000,4.6949653011252145e-06,0.3456,-3.4425012115125476e-06,1.6372096995808773e-05,-4.879967487819384e-06,1.8622911178019394e-05,5000
2010-01,OOSR2_regime_mean,fixed_MBB,6,5000,0.0016005364173303782,0.2888,-0.0011024769023658203,0.004536964083982869,-0.0016701957372738051,0.005073492519893249,5000
2010-01,spearman_rho,fixed_MBB,12,5000,0.9401444788441692,0.3188,-0.739938080495356,0.9979360165118679,-0.9092363261093909,1.0,5000
