portfolio,split_date,delta_mse,oos_r2,cw_stat,cw_pval,cw_sig_5pct
<= 0,1995-01-01,-3.1666224938250106e-07,0.07274371929708201,8.491003559832059,0.0,True
<= 0,2000-01-01,-4.2575207129173986e-07,0.08270636875962234,10.901025556576164,0.0,True
<= 0,2010-01-01,-3.588658524569983e-07,0.060081109580736314,11.016056192758134,0.0,True
Lo 30,1995-01-01,0.006691956761781358,-1.6814905537157525,-1.6354403317422255,0.949021613288242,False
Lo 30,2000-01-01,0.0050376763821896224,-1.2105847377528232,-2.0290294622150933,0.9787723552250328,False
Lo 30,2010-01-01,0.0012316219479527545,-0.3348383872768428,-0.1947112361140713,0.5771904924380679,False
Med 40,1995-01-01,0.0014550251728778297,-0.4818723689374125,-0.8963887409909039,0.814977410766969,False
Med 40,2000-01-01,0.0011839644649729525,-0.37785025824543217,-1.343665063902252,0.910471640283744,False
Med 40,2010-01-01,0.0002463122349725677,-0.08232747283659814,0.16415973773069578,0.43480269784718084,False
Hi 30,1995-01-01,6.677500749324022e-05,-0.034831799092034155,-0.10387057445696482,0.5413639705269073,False
Hi 30,2000-01-01,1.947021817594644e-05,-0.010026757894959326,0.8737654317091088,0.1911230047184178,False
Hi 30,2010-01-01,4.2522159321172924e-05,-0.02397273617784812,-1.4626837132874975,0.9282230276340604,False
Lo 20,1995-01-01,0.009141177909165465,-2.191689982211137,-1.9210689020548675,0.9726384892357443,False
Lo 20,2000-01-01,0.006760092696687265,-1.5434949304365477,-2.345990077569231,0.9905116936746697,False
Lo 20,2010-01-01,0.0016753890327918484,-0.4436231709048555,-0.40143635585130766,0.6559505564715392,False
Qnt 2,1995-01-01,0.004091037160210514,-1.0991562378870459,-1.3855432024024117,0.9170567840951093,False
Qnt 2,2000-01-01,0.003167912769098915,-0.8224676562402597,-1.7168583597965597,0.9569974726423067,False
Qnt 2,2010-01-01,0.0007747116437109409,-0.2196348989059076,-0.14959962586777223,0.559459748311962,False
Qnt 3,1995-01-01,0.001626116204445788,-0.523582579828433,-0.9362125170575923,0.8254181101120304,False
Qnt 3,2000-01-01,0.001300892237375169,-0.4061243869834319,-1.274573196466098,0.8987698252157366,False
Qnt 3,2010-01-01,0.00027527772158662594,-0.08948166516090228,0.13827942345666983,0.44500979348924796,False
Qnt 4,1995-01-01,0.00036077101016208923,-0.13582041588259397,-0.699112159007339,0.7577590298051259,False
Qnt 4,2000-01-01,0.00033258232994910677,-0.12033394546707843,-1.1881123189025034,0.8826054191941848,False
Qnt 4,2010-01-01,4.32869683102805e-05,-0.017266913766064595,0.597642321778379,0.2750393093560607,False
Hi 20,1995-01-01,0.00010876087124294873,-0.057328822216580644,-0.19472139895178536,0.5771944706877744,False
Hi 20,2000-01-01,4.210196315168114e-05,-0.02200616967090041,0.8470215897674901,0.1984915438536744,False
Hi 20,2010-01-01,5.963138104380728e-05,-0.03404917327554302,-1.5160028782615111,0.9352406876946363,False
Lo 10,1995-01-01,0.012982096327580593,-3.223319185210883,-2.5380053492431203,0.9944256859814242,False
Lo 10,2000-01-01,0.009361083297049712,-2.2131812835909512,-2.8695588690360174,0.9979447759535592,False
Lo 10,2010-01-01,0.002351435450523678,-0.6615895874366082,-0.8547930645796383,0.8036671408171372,False
2-Dec,1995-01-01,0.007414429756748966,-1.6528403899801165,-1.5670341440749538,0.9414466445439883,False
2-Dec,2000-01-01,0.005592914267273419,-1.1922606356050367,-2.044670508986622,0.9795563235140458,False
2-Dec,2010-01-01,0.0013802348264144284,-0.33602917349815753,-0.2068681362036159,0.5819435790749998,False
3-Dec,1995-01-01,0.004691558365267723,-1.2049885421335214,-1.2896349528277753,0.9014112830184341,False
3-Dec,2000-01-01,0.003592149356678194,-0.8900537717953363,-1.6124505595782619,0.9465680348571586,False
3-Dec,2010-01-01,0.0008548731288562012,-0.23045739707852442,-0.007077275515303133,0.5028234008634147,False
4-Dec,1995-01-01,0.003714507967002368,-1.0161298845803288,-1.425088666150142,0.9229342137767772,False
4-Dec,2000-01-01,0.002895515506211952,-0.7662291816002533,-1.7626220265105539,0.9610178702148685,False
4-Dec,2010-01-01,0.0007204980755362218,-0.20788932496146817,-0.23570848780616405,0.5931705584314176,False
5-Dec,1995-01-01,0.002430697719051832,-0.7032579689652365,-1.1072264642721965,0.8659019858072948,False
5-Dec,2000-01-01,0.0018956408278327087,-0.5319436820501295,-1.4257198899786454,0.9230253935717236,False
5-Dec,2010-01-01,0.0004102459005251623,-0.12230184857635829,0.14657365705167122,0.44173427385124153,False
