# three_state_degeneracy_check.csv -- three-state non-identification check, seed=20260706
# is_degenerate_state = state with the largest |mu| in that window.
# window_pathology_confirmed = that state's |mu| >= 0.05 AND occupancy <= 0.02.
window,n_train,state,mu,occupancy,n_dominant_months,is_degenerate_state,window_pathology_confirmed
1995-01-01,816,0,0.0032858227448240803,0.5240454564269202,431,False,True
1995-01-01,816,1,-0.0009370662247020103,0.46901726011361955,380,False,True
1995-01-01,816,2,0.15781186424860308,0.006937283459460123,4,True,True
2000-01-01,876,0,0.0023386248896815195,0.5424497943416231,479,False,True
2000-01-01,876,1,-0.000978477307898098,0.44932402150368567,393,False,True
2000-01-01,876,2,0.1330885669630946,0.008226184154691256,4,True,True
2010-01-01,996,0,0.0028986143209055503,0.554114170498521,562,False,True
2010-01-01,996,1,-0.0011715847977619095,0.4304291138289297,425,False,True
2010-01-01,996,2,0.0710059335931884,0.015456715672549401,9,True,True
