window,logL_1state,BIC_1state,logL_2state,BIC_2state,logL_3state,BIC_3state
1995-01-01,1667.9454590891964,-3322.482089468465,1774.1784230720907,-3508.130360014397,1816.2905284263602,-3552.128084593151
2000-01-01,1784.4286439107843,-3555.306555639696,1887.7741913867417,-3734.896186227865,1931.406383393402,-3781.508373695567
2010-01-01,1996.1360850432663,-3978.4646755713634,2124.6538433190362,-4207.885203092565,2175.041520019512,-4267.238072948009
