split,portfolio,SMB_beta,n_test,OOSR2_regime_vs_histmean,OOSR2_static_vs_histmean,dMSE_static_minus_regime,CW_stat,CW_pvalue,CW_p_BH_all54,CW_p_BH_table2_DEPRECATED,sig5_raw,sig5_BH_all54
1995-01,Lo 30,1.2045384301530773,371,0.0006577990220357766,0.0008006464252723333,-5.68956285841582e-07,0.2699612717141545,0.39359502420534587,0.7088917607500465,0.4427944022310141,False,False
1995-01,Med 40,0.5592583236277208,371,0.00036943830654767584,0.0009740433645628599,-1.8273994368649127e-06,-0.11666511554046947,0.5464372823920911,0.7296917679579337,,False,False
1995-01,Hi 30,-0.1236391222245926,371,0.00060159784895919,0.00042862264315290943,3.317478241100444e-07,0.3463329955896227,0.36454623714236045,0.7088917607500465,,False,False
1995-01,Lo 20,1.4074040503071013,371,0.0017730588768216649,0.0006640606491638001,4.628522557386695e-06,0.5609166019389393,0.28742719587709564,0.7088917607500465,0.4121707732049647,False,False
1995-01,Qnt 2,0.9388952479083514,371,-0.0005466702690319902,0.0007773819128910064,-4.93192928207372e-06,-0.15101732946442228,0.5600189771287698,0.7296917679579337,,False,False
1995-01,Qnt 3,0.5915215005004931,371,-0.0003010264441429822,0.0008364804478795396,-3.5357687778515313e-06,-0.34974305984442516,0.6367342325282113,0.7296917679579337,,False,False
1995-01,Qnt 4,0.2702774156146906,371,0.0009872671755404294,0.0009380517976738112,1.3085037822062676e-07,0.1349157160676876,0.4463392567685478,0.7088917607500465,,False,False
1995-01,Hi 20,-0.15593330101800623,371,0.0005731892885237899,0.00034041265466455695,4.4176052607885867e-07,0.3773643605728758,0.352951424272574,0.7088917607500465,,False,False
1995-01,Lo 10,1.6698505126623995,371,0.0017049863075692118,-0.00032994538048658484,8.193096668591623e-06,0.7093941446041853,0.23903996018377105,0.7088917607500465,0.4121707732049647,False,False
1995-01,2-Dec,1.27121659530195,371,0.0015948122455979874,0.0009267523078656525,2.999610994951739e-06,0.4680602800786292,0.319870741378796,0.7088917607500465,,False,False
1995-01,3-Dec,1.0110319048097174,371,-0.000640935653074548,0.0008700962336473106,-5.8882450795836976e-06,-0.16922752803929522,0.567191161096855,0.7296917679579337,,False,False
1995-01,4-Dec,0.8916153487985992,371,-0.0005035019648935712,0.0006916014654246849,-4.371777247595687e-06,-0.139507939022492,0.5554756085722306,0.7296917679579337,,False,False
1995-01,5-Dec,0.7239558406651522,371,-6.618388906587391e-05,0.000922000751904406,-3.418652796469482e-06,-0.1823312312387279,0.5723386047607677,0.7296917679579337,,False,False
1995-01,6-Dec,0.49996929668323503,371,-0.00040078676449595285,0.0007749652204980251,-3.4350484714143655e-06,-0.4775265103097077,0.6835063760823812,0.7296917679579337,,False,False
1995-01,7-Dec,0.4137288078803635,371,0.0010527505944124549,0.0009130026780378442,3.936665294301811e-07,0.22414942176921754,0.41132051883716614,0.7088917607500465,,False,False
1995-01,8-Dec,0.1885430657468498,371,0.0009703133750098569,0.0009517387457010917,4.859673357476835e-08,0.08616229339590004,0.4656687023540579,0.7184602836319751,,False,False
1995-01,9-Dec,0.042451068443003274,371,0.0006804367186237226,0.0007187548100516805,-8.334106927363263e-08,-0.19432879216302415,0.5770407787756914,0.7296917679579337,,False,False
1995-01,Hi 10,-0.2009538373960566,371,0.000562443818676539,0.00026270928251970194,5.701259492459088e-07,0.3926324068401351,0.3472955003318434,0.7088917607500465,,False,False
2000-01,Lo 30,1.194633304998494,311,0.0003312608700823949,0.0006118770510605831,-1.1684593196883628e-06,0.14003468826588247,0.4443162915675478,0.7088917607500465,0.4443162915675478,False,False
2000-01,Med 40,0.5662534243279894,311,-0.00030919173899524033,0.000751806838297786,-3.327058018877914e-06,-0.4596887788854347,0.6771301875195228,0.7296917679579337,,False,False
2000-01,Hi 30,-0.1277959659897944,311,0.001238745173218092,0.0008763262699571506,7.043716724920712e-07,0.7153041595264943,0.2372105594431777,0.7088917607500465,,False,False
2000-01,Lo 20,1.3840592499603703,311,0.0013098786730276757,0.00040943943391091864,3.945297068593673e-06,0.4660851726376928,0.3205772680483059,0.7088917607500465,0.4121707732049647,False,False
2000-01,Qnt 2,0.9443168623670808,311,-0.0011009314621275301,0.0006057652169043637,-6.577697392656009e-06,-0.42501816966954264,0.6645882853010825,0.7296917679579337,,False,False
2000-01,Qnt 3,0.5995982385702464,311,-0.0008432087733254434,0.0006355111285795134,-4.739628018057829e-06,-0.651643219427686,0.7426843200862845,0.7566972317860257,,False,False
2000-01,Qnt 4,0.2801076626408303,311,0.0006166715757137675,0.0009384031521708636,-8.90045967096801e-07,-0.2653568856148718,0.6046327268955236,0.7296917679579337,,False,False
2000-01,Hi 20,-0.16139954104316903,311,0.0013412548801452484,0.0008662838879506252,9.094971906769764e-07,0.7450455188103388,0.22812210143028988,0.7088917607500465,,False,False
2000-01,Lo 10,1.6271264939358545,311,0.0025059003319686246,-0.0002775542150650345,1.1769898866376312e-05,0.8236767866125991,0.20506161635684816,0.7088917607500465,0.4121707732049647,False,False
2000-01,2-Dec,1.258751995491039,311,0.0005039410963942892,0.0006150401386705306,-5.21488172262885e-07,0.1904465991498141,0.42447959248106026,0.7088917607500465,,False,False
2000-01,3-Dec,1.0132466921166954,311,-0.0008569868901311395,0.0007605696252948047,-6.533231404200028e-06,-0.35207172878357124,0.6376077650684175,0.7296917679579337,,False,False
2000-01,4-Dec,0.89853132469064,311,-0.001327731534539467,0.0004609458512425668,-6.762378197048766e-06,-0.4934518876394034,0.6891533364047151,0.7296917679579337,,False,False
2000-01,5-Dec,0.7281735388861393,311,-0.00121883327133121,0.0006402001556485848,-6.629117578250271e-06,-0.7063015351909746,0.7599996805313227,0.7599996805313227,,False,False
2000-01,6-Dec,0.509889284455354,311,-0.0005124882594846891,0.0006651786627591694,-3.5442449282502807e-06,-0.5933652955852157,0.723531645434983,0.751359785644021,,False,False
2000-01,7-Dec,0.4159996961254634,311,0.000574563708145015,0.000912098249853055,-9.929093852563409e-07,-0.14902977048711039,0.5592349290892789,0.7296917679579337,,False,False
2000-01,8-Dec,0.2024383725983834,311,0.0006914458098359333,0.0009593024361178593,-7.269554983396764e-07,-0.32620965218191733,0.6278671304483762,0.7296917679579337,,False,False
2000-01,9-Dec,0.03893450525009777,311,0.0008979711774084187,0.0009598139618687274,-1.3864131641208935e-07,-0.4069286280706578,0.657969795506443,0.7296917679579337,,False,False
2000-01,Hi 10,-0.2066807956123966,311,0.0014775438280847375,0.0008338678359115503,1.229223178241673e-06,0.7942430815126145,0.2135269662935415,0.7088917607500465,,False,False
2010-01,Lo 30,1.1911755219414164,191,0.003441970845710407,0.0009032710795038312,9.34643487094343e-06,0.8675814162582167,0.19281176176930725,0.7088917607500465,0.4121707732049647,False,False
2010-01,Med 40,0.5606364301566034,191,0.0014700234615070418,0.0008071978861149409,1.9846830527541284e-06,0.5361627661927837,0.2959230320542623,0.7088917607500465,,False,False
2010-01,Hi 30,-0.13247219432902888,191,-0.0014235671286044749,-0.0015922316427006145,2.986967356651774e-07,0.4631860686528042,0.3216155005821877,0.7088917607500465,,False,False
2010-01,Lo 20,1.3699867358865336,191,0.004702864073861779,0.0008221962090333435,1.4667805516868377e-05,1.11923671385101,0.13151958329102642,0.7088917607500465,0.4121707732049647,False,False
2010-01,Qnt 2,0.9457796565230531,191,0.002286591189787912,0.0009065227099674944,4.8722913279009884e-06,0.6735317194140209,0.25030453807477704,0.7088917607500465,,False,False
2010-01,Qnt 3,0.5889409732720714,191,0.0013451546255203173,0.0008485015421457742,1.529180670840815e-06,0.41593583846853044,0.338728476951041,0.7088917607500465,,False,False
2010-01,Qnt 4,0.29572434575338774,191,0.0006961679850223668,0.00044038738420026924,6.415069314052828e-07,0.3582801577409688,0.3600668328415221,0.7088917607500465,,False,False
2010-01,Hi 20,-0.1673662738370906,191,-0.0015277615272049072,-0.0017636987412861238,4.1247673032663787e-07,0.5161011761254928,0.3028918732769681,0.7088917607500465,,False,False
2010-01,Lo 10,1.5859724271720212,191,0.007248585495968629,0.00022970706598857138,2.4952375209809797e-05,1.3956275751450746,0.08141333707839515,0.7088917607500465,0.4121707732049647,False,False
2010-01,2-Dec,1.2597848844667336,191,0.003373261662016347,0.0009115314149127363,1.0120745710604992e-05,0.8993243080520977,0.18423997167266748,0.7088917607500465,,False,False
2010-01,3-Dec,1.0103350176415116,191,0.002296958943690308,0.0008987286051445054,5.191348964085803e-06,0.5969007525891937,0.27528682239778923,0.7088917607500465,,False,False
2010-01,4-Dec,0.9026939108200812,191,0.002206445144211977,0.0009088826859430243,4.501153359867845e-06,0.7079454317413033,0.23948957252580771,0.7088917607500465,,False,False
2010-01,5-Dec,0.7164878080335186,191,0.0014918707387879815,0.000824116243928863,2.2417444609074653e-06,0.4551727839357238,0.3244924693729938,0.7088917607500465,,False,False
2010-01,6-Dec,0.4970423342143779,191,0.0012355454670416322,0.0008605835784842863,1.097629793618115e-06,0.37645497835273417,0.3532893399798991,0.7088917607500465,,False,False
2010-01,7-Dec,0.4076409710127915,191,0.0012790764013361766,0.0006547718328707708,1.767740909818915e-06,0.6295077227680784,0.26450835720021004,0.7088917607500465,,False,False
2010-01,8-Dec,0.23187086750747904,191,0.0003290264517857855,0.00024952873008154963,1.8873565063538475e-07,0.16092247186791706,0.43607723148868227,0.7088917607500465,,False,False
2010-01,9-Dec,0.06202045150276045,191,0.00013380466238555044,0.00011038682295971824,4.769808580919188e-08,0.14338996017512792,0.44299110583008006,0.7088917607500465,,False,False
2010-01,Hi 10,-0.2159930766488065,191,-0.0017763629808780212,-0.002148271566604798,6.471274383924083e-07,0.6335362402929213,0.263191761352648,0.7088917607500465,,False,False
