portfolio,split_date,delta_mse,oos_r2,cw_stat,cw_pval,cw_sig_5pct
<= 0,1995-01-01,3.1623470446091795e-06,-0.7264550358685677,-11.445666938378562,1.0,False
<= 0,2000-01-01,4.176853028667083e-06,-0.8113932265686365,-16.858543415916383,1.0,False
<= 0,2010-01-01,4.874582774542352e-06,-0.8160997760952771,-17.551722534900886,1.0,False
Lo 30,1995-01-01,-2.3524981041372732e-05,0.005911131049637697,1.5354522440483318,0.06233638954939735,False
Lo 30,2000-01-01,-2.1365120525931e-05,0.005134170372748215,1.3435627453511234,0.08954491165602874,False
Lo 30,2010-01-01,-3.065267993467317e-05,0.008333477600086514,1.4897727735949355,0.06814199612276628,False
Med 40,1995-01-01,-2.8003339508715815e-06,0.0009274090784646694,0.640452733254115,0.26093915451991345,False
Med 40,2000-01-01,-5.228718009998596e-06,0.0016686923542202914,0.7378208481380704,0.2303116613111953,False
Med 40,2010-01-01,2.1171275690770944e-07,-7.076293325591898e-05,0.23830980414892633,0.40582040888224713,False
Hi 30,1995-01-01,3.2727711301535657e-06,-0.001707173248780336,-0.8037782672856681,0.7892374784265371,False
Hi 30,2000-01-01,-8.668022626250136e-07,0.00044638515868633544,0.38279831138288195,0.35093465681330915,False
Hi 30,2010-01-01,9.531094123699842e-06,-0.005373349062260058,-1.8000625980987397,0.9640746227384551,False
Lo 20,1995-01-01,-3.6593185601396794e-05,0.008773586850260862,1.8769485787309894,0.030262570932870103,True
Lo 20,2000-01-01,-3.3555349828421656e-05,0.007661509194179406,1.6825296232033853,0.04623309280683541,True
Lo 20,2010-01-01,-4.927850079945251e-05,0.013048363307990085,1.7952682020391975,0.03630548935275135,True
Qnt 2,1995-01-01,-1.4067695824286196e-05,0.0037796272711337897,1.2371833331885635,0.10800951382226354,False
Qnt 2,2000-01-01,-1.304423058895443e-05,0.0033866013813884654,1.076315289715863,0.1408931364436905,False
Qnt 2,2010-01-01,-1.4040713456042828e-05,0.003980617440720202,1.0096631386571078,0.15632835425327096,False
Qnt 3,1995-01-01,-5.700149465456047e-06,0.001835354050570781,0.85178168431684,0.19716763691809547,False
Qnt 3,2000-01-01,-7.087545654285883e-06,0.002212654554592186,0.8533488357007165,0.19673294283662401,False
Qnt 3,2010-01-01,-1.041375965356306e-06,0.0003385092513170651,0.33015858847302193,0.37064006779496983,False
Qnt 4,1995-01-01,2.3592064543852265e-06,-0.0008881766903701127,0.03880215910145736,0.48452406170923423,False
Qnt 4,2000-01-01,-8.657822515175349e-07,0.00031325474885035565,0.3704963720204061,0.35550633962525413,False
Qnt 4,2010-01-01,6.9899218259569275e-06,-0.0027882381721719973,-0.47527164428789226,0.6827033163490082,False
Hi 20,1995-01-01,2.9614397480744355e-06,-0.001561001221137337,-0.8014084499956088,0.7885523875662535,False
Hi 20,2000-01-01,-9.756109233120033e-07,0.0005099396299835801,0.4278292057021249,0.33438773599753313,False
Hi 20,2010-01-01,9.183137857156961e-06,-0.0052435185407131435,-1.8672260757992412,0.9690649881722475,False
Lo 10,1995-01-01,-6.009975062891068e-05,0.014922141566375724,2.499939848676406,0.006210719755530225,True
Lo 10,2000-01-01,-5.0368689508637106e-05,0.011908348356927001,2.1424590564851287,0.016078280003194,True
Lo 10,2010-01-01,-7.250463913143022e-05,0.02039958795361374,2.413499203429046,0.007900081211282606,True
2-Dec,1995-01-01,-2.5967469764817327e-05,0.005788723376035865,1.5084650167024287,0.06571777684424784,False
2-Dec,2000-01-01,-2.7509249220862043e-05,0.005864240607618143,1.4625155447814646,0.07179999387877711,False
2-Dec,2010-01-01,-3.8003749569263424e-05,0.00925231584741637,1.4585074523141228,0.07235036125925753,False
