portfolio,mean_OOS_R2_regime,mean_OOS_R2_static,mean_incremental_OOS_R2,mean_MSFE_stat,mean_MSFE_pvalue,frac_MSFE_sig_10pct,frac_MSFE_sig_5pct,mean_delta_mse,mean_delta_mae,n_splits,beta_SMB
Lo 10,0.015365624688296164,-0.00012593084318768266,0.015490336670086738,2.411996600442673,0.00829620940584778,1.0,1.0,-6.006074602586198e-05,-0.00014199091288220195,3,1.542456624618895
Lo 20,0.010947139495261085,0.0006318987640357987,0.010322141096540024,2.0469453669558635,0.020650742616360945,1.0,1.0,-4.181730069849444e-05,-7.580325132520067e-05,3,1.3562563093858255
2-Dec,0.008584656482149825,0.0008177746204828992,0.007773390742719766,1.8498761541253357,0.032308351210291075,1.0,1.0,-3.3989319908067236e-05,-3.640880222091173e-05,3,1.2629037042686946
Lo 30,0.00793079242951944,0.0007719315186122492,0.007164569238545655,1.8615814870608132,0.03226200575001703,1.0,1.0,-2.7912025065096574e-05,9.344794758734768e-06,3,1.1876932532741722
3-Dec,0.00512570759245116,0.0008431314880289476,0.004286243468723416,1.5748678732184613,0.05961350589760036,1.0,0.3333333333333333,-1.6492813450638053e-05,9.115636246483094e-05,3,1.0164815120225348
Qnt 2,0.005097053466527853,0.0007632232799209548,0.004337223014087195,1.6747727716266703,0.04797290646764307,1.0,0.6666666666666666,-1.5959269429615334e-05,9.817471332368664e-05,3,0.9513237467659776
4-Dec,0.005029685140581663,0.0006871433342034253,0.004345605743656056,1.749334640745375,0.040597425672642316,1.0,0.6666666666666666,-1.5736386830442234e-05,0.00012517758217707684,3,0.9075847663370554
5-Dec,0.0030022416664633087,0.0007954390504939512,0.0022085601922780715,1.3565756301780603,0.08956912576445453,0.6666666666666666,0.0,-7.641722476733892e-06,0.00011466410737964496,3,0.7255344127058114
Qnt 3,0.0028397422120112945,0.0007734977062015721,0.0020678415684400506,1.4816205831040155,0.07354124610703956,0.6666666666666666,0.0,-6.471412415011366e-06,9.399013919536338e-05,3,0.6008514513978778
Med 40,0.0025872232701338316,0.0008443493629916773,0.0017443468470033825,1.3436836197903723,0.0925661596791701,0.6666666666666666,0.0,-5.317899648722181e-06,8.929514738750578e-05,3,0.5702017387563818
6-Dec,0.00262390430768622,0.0007669091539138639,0.0018584150800709336,1.567897756647323,0.0653327639546883,0.6666666666666666,0.6666666666666666,-5.483809285010526e-06,4.981908596570402e-05,3,0.5106675480522417
7-Dec,0.0015265531836200497,0.0008266242535871493,0.0007005070894876564,1.0019908296216091,0.166653186426169,0.3333333333333333,0.0,-2.01027561433538e-06,7.357700198611326e-05,3,0.4137035629069396
Qnt 4,0.001194505791328108,0.0007722807780149443,0.0004226035888346506,1.114683394677968,0.17220670996675946,0.3333333333333333,0.3333333333333333,-1.1403122953604582e-06,6.679754967855768e-05,3,0.3028259937020238
8-Dec,0.0009605727434048491,0.0007201899706335002,0.0002406520799573079,1.2213616147664756,0.17928282349772393,0.6666666666666666,0.3333333333333333,-6.577426670948948e-07,4.654641835453305e-05,3,0.2392802631341151
9-Dec,0.0005444415841255509,0.0005963185316267087,-5.188157642240417e-05,0.6933556147546797,0.26544497538558853,0.0,0.0,1.0521618768431773e-07,1.0277835116636233e-05,3,0.0715287750659481
Hi 30,0.0002871525570273074,-9.576090986351815e-05,0.00038243580761295376,0.312876946364454,0.3926793909974036,0.0,0.0,-6.882353799630517e-07,-3.688033378265269e-05,3,-0.1307607853827807
Hi 20,0.0003581557696721305,-0.00018566739955694356,0.000543103167347514,0.35174839163407584,0.38018441697523925,0.0,0.0,-9.697297183429404e-07,-5.0328986080513484e-05,3,-0.1654221806911052
Hi 10,0.0004209292617575189,-0.0003505648160578856,0.0007702247846049781,0.39073066465826667,0.3670138391379099,0.0,0.0,-1.3728534283246007e-06,-6.224906563058695e-05,3,-0.2145060203942534
