date,p_stress
1926-07-01,0.062471239005821765
1926-08-01,0.028761133141138012
1926-09-01,0.01851675013338875
1926-10-01,0.013578711946900156
1926-11-01,0.01213825619629751
1926-12-01,0.011723619597486025
1927-01-01,0.011620150352080347
1927-02-01,0.011611441867822054
1927-03-01,0.01409531200268669
1927-04-01,0.012568630179548948
1927-05-01,0.014773076182572488
1927-06-01,0.012912686309184157
1927-07-01,0.02486427389293585
1927-08-01,0.015890586555267094
1927-09-01,0.031326059012626355
1927-10-01,0.024880794402602983
1927-11-01,0.029569723224763835
1927-12-01,0.018559747057573767
1928-01-01,0.05605573882948973
1928-02-01,0.03251006997095038
1928-03-01,0.017773129720111046
1928-04-01,0.05310045086228692
1928-05-01,0.043854327467479935
1928-06-01,0.05533749232495219
1928-07-01,0.027392109921636418
1928-08-01,0.021168391052998857
1928-09-01,0.023520081215067306
1928-10-01,0.023217273511903766
1928-11-01,0.01844609866430321
1928-12-01,0.01418842875922015
1929-01-01,0.02661576028966874
1929-02-01,0.01599652611592209
1929-03-01,0.0689943421497675
1929-04-01,0.03082529620498098
1929-05-01,0.13060006262215026
1929-06-01,0.06447563192512647
1929-07-01,0.07524422844246777
1929-08-01,0.9742651069849415
1929-09-01,0.6139358685691468
1929-10-01,0.6807944120783034
1929-11-01,0.3187448194315059
1929-12-01,0.3067004214319741
1930-01-01,0.26156959302807037
1930-02-01,0.09636089778264059
1930-03-01,0.09266151975334888
1930-04-01,0.03626385904100777
1930-05-01,0.025020218591914268
1930-06-01,0.037536444526106626
1930-07-01,0.019222154101030557
1930-08-01,0.018685652214194687
1930-09-01,0.020019769789036274
1930-10-01,0.014020926330321523
1930-11-01,0.020598405286861868
1930-12-01,0.06462414014590462
1931-01-01,0.07198018980656867
1931-02-01,0.07685350572237916
1931-03-01,0.06012921427131654
1931-04-01,0.08702517131232984
1931-05-01,0.24786743520993446
1931-06-01,0.3772316934540259
1931-07-01,0.17031725190592334
1931-08-01,0.08060358078772517
1931-09-01,0.03421555256587787
1931-10-01,0.018234235796619896
1931-11-01,0.06335064991158969
1931-12-01,0.028071593350914227
1932-01-01,0.07660782349116134
1932-02-01,0.04689937613831648
1932-03-01,0.032564050348463054
1932-04-01,0.019374192280701502
1932-05-01,0.05735870232112934
1932-06-01,0.02577826667353144
1932-07-01,0.05615847324595852
1932-08-01,0.999975155205663
1932-09-01,0.673700826208109
1932-10-01,0.4093900071999674
1932-11-01,0.2019582325105052
1932-12-01,0.9285344586182456
1933-01-01,0.536479277778921
1933-02-01,0.3130614906380405
1933-03-01,0.2789807810266933
1933-04-01,0.19779080466781002
1933-05-01,0.9999999999999991
1933-06-01,0.9983235442469633
1933-07-01,0.6161676132973115
1933-08-01,0.7156271607957045
1933-09-01,0.33765765091228594
1933-10-01,0.1257790032757798
1933-11-01,0.48997455756638314
1933-12-01,0.19998238009233055
1934-01-01,0.9999863557415763
1934-02-01,0.9245376132830039
1934-03-01,0.6437472240372679
1934-04-01,0.43133239638300575
1934-05-01,0.16793364091670962
1934-06-01,0.08180746592639561
1934-07-01,0.5861063103409987
1934-08-01,0.8033069768580329
1934-09-01,0.4368436023830674
1934-10-01,0.19224360168543983
1934-11-01,0.715074025726775
1934-12-01,0.5546880719499218
1935-01-01,0.24914580668997338
1935-02-01,0.09180075348008754
1935-03-01,0.07830897088309313
1935-04-01,0.036800086378897555
1935-05-01,0.03799004428041847
1935-06-01,0.0295334529322076
1935-07-01,0.024045541252577268
1935-08-01,0.22377787387677484
1935-09-01,0.09920234005038928
1935-10-01,0.0685045569775101
1935-11-01,0.14846439813130022
1935-12-01,0.05463844723722393
1936-01-01,0.24244374482116174
1936-02-01,0.09414543578645176
1936-03-01,0.03862914876299861
1936-04-01,0.214869585622215
1936-05-01,0.08389386814170209
1936-06-01,0.06644833200080161
1936-07-01,0.031298483574880076
1936-08-01,0.018133419028943554
1936-09-01,0.030245834767608455
1936-10-01,0.024487229634967047
1936-11-01,0.8671514232338786
1936-12-01,0.747852671127185
1937-01-01,0.7465374221297949
1937-02-01,0.36882210896111056
1937-03-01,0.1505229554219431
1937-04-01,0.134212612618858
1937-05-01,0.050678653585883575
1937-06-01,0.0655495734305645
1937-07-01,0.030011455605886066
1937-08-01,0.017442658211049438
1937-09-01,0.33108970058321396
1937-10-01,0.1260410521483422
1937-11-01,0.10727457016947078
1937-12-01,0.8151922962617606
1938-01-01,0.8278618958684489
