portfolio,split_date,factor,beta,mse_static,mae_static,mse_regime,mae_regime,delta_mse,delta_mae,pct_mse_improvement,dm_se_stat,dm_se_pvalue,dm_ae_stat,dm_ae_pvalue,rsq_static,rsq_augmented,rsq_lift,n_train,n_test
Lo 30,1995-01-01,Mkt-RF,1.0400933303593793,0.0039797766017736535,0.047973725292003486,0.003942682992189768,0.04788554720798978,-3.70936095838853e-05,-8.817808401370697e-05,0.9320525571046857,0.7168864134418321,0.473444185952155,0.3865019562359564,0.6991249540897255,0.9791178150542592,0.9796635060753168,0.0005456910210576149,816,371
Lo 30,1995-01-01,SMB,1.204538430153078,0.0039797766017736535,0.047973725292003486,0.003953099110403739,0.04804683114057833,-2.66774913699145e-05,7.31058485748462e-05,0.6703263534446942,1.2410766279011818,0.21457744264820366,-0.4594927297929982,0.645880371674173,0.9791178150542592,0.9796635060753168,0.0005456910210576149,816,371
Lo 30,1995-01-01,HML,0.4623698450836767,0.0039797766017736535,0.047973725292003486,0.003986340691033269,0.0479844527181654,6.564089259615893e-06,1.0727426161913356e-05,-0.16493612371836394,-0.36592503830651607,0.7144210123220034,-0.10670329112357003,0.9150243715771029,0.9791178150542592,0.9796635060753168,0.0005456910210576149,816,371
Lo 30,1995-01-01,UMD,-0.07127441747660954,0.0039797766017736535,0.047973725292003486,0.003972362472635915,0.04791074837067933,-7.414129137738555e-06,-6.297692132415517e-05,0.1862951084850925,1.2974389999644231,0.19448018091933994,2.106137002299178,0.03519245347117006,0.9791178150542592,0.9796635060753168,0.0005456910210576149,816,371
Med 40,1995-01-01,Mkt-RF,1.065661296894441,0.0030195239791116074,0.04196342060409049,0.0029878220159261833,0.04184600504094495,-3.170196318542408e-05,-0.0001174155631455398,1.0498993684014826,0.635219781044845,0.5252850837804997,0.501925513073009,0.6157199179601023,0.9822462288165072,0.9827671365290651,0.000520907712557861,816,371
Med 40,1995-01-01,SMB,0.5592583236277212,0.0030195239791116074,0.04196342060409049,0.0030142384923512195,0.04208347265330946,-5.285486760387911e-06,0.00012005204921897161,0.17504370877501646,0.6580752221051457,0.5104897965846513,-1.6202646486651149,0.10517543934523821,0.9822462288165072,0.9827671365290651,0.000520907712557861,816,371
Med 40,1995-01-01,HML,0.18885411820280232,0.0030195239791116074,0.04196342060409049,0.0030223409708173515,0.0419788885839176,2.8169917057441034e-06,1.5467979827113454e-05,-0.0932925760891923,-0.4617158546114897,0.6442850999045622,-0.3741039778857888,0.7083269593074144,0.9822462288165072,0.9827671365290651,0.000520907712557861,816,371
Med 40,1995-01-01,UMD,0.0015018312590272653,0.0030195239791116074,0.04196342060409049,0.003019619782562623,0.04196418374698449,9.580345101565732e-08,7.631428940030327e-07,-0.0031727998081288377,-0.9847372861018477,0.3247531327336173,-1.2063784173928869,0.22767161394865365,0.9822462288165072,0.9827671365290651,0.000520907712557861,816,371
Hi 30,1995-01-01,Mkt-RF,0.991881834396742,0.001917070298803664,0.03356033639871023,0.0018806677054102358,0.03327440621310223,-3.640259339342819e-05,-0.00028593018560799793,1.898865858813055,0.9820839592971846,0.3260584872473504,1.3259417476332025,0.1848589933072995,0.9983084194728555,0.998383767818574,7.534834571842897e-05,816,371
Hi 30,1995-01-01,SMB,-0.12363912222459238,0.001917070298803664,0.03356033639871023,0.0019161204577171152,0.03351581279718825,-9.498410865488045e-07,-4.4523601521975764e-05,0.049546492225222366,0.6710203057183715,0.5022075939173409,2.732771133611722,0.006280395600561484,0.9983084194728555,0.998383767818574,7.534834571842897e-05,816,371
